standard,level,industry,ticker,2018q1,2018q2,2018q3,2018q4,2019q1,2019q2,2019q3,2019q4,2020q1,2020q2,2020q3,2020q4
bics,bics_l1,Consumer Discretionary,VIH,22.0,35.0,33.0,,,,,,,,,
bics,bics_l1,Consumer Discretionary,VIT,32.0,42.0,43.0,59.0,39.0,48.0,45.0,66.0,37.0,48.0,44.0,53.0
bics,bics_l1,Consumer Discretionary,VKC,38.0,48.0,36.0,42.0,43.0,43.0,42.0,44.0,42.0,45.0,40.0,39.0
bics,bics_l1,Consumer Discretionary,VNG,88.0,56.0,45.0,40.0,42.0,44.0,36.0,30.0,48.0,40.0,29.0,28.0
bics,bics_l1,Consumer Discretionary,VNS,48.0,66.0,81.0,79.0,92.0,95.0,99.0,73.0,79.0,49.0,57.0,56.0
bics,bics_l1,Consumer Discretionary,VTA,33.0,52.0,53.0,45.0,26.0,39.0,40.0,43.0,40.0,39.0,35.0,31.0
bics,bics_l1,Consumer Discretionary,VTG,44.0,82.0,91.0,75.0,48.0,87.0,96.0,88.0,68.0,66.0,76.0,47.0
bics,bics_l1,Consumer Discretionary,VTR,,,86.0,78.0,78.0,100.0,87.0,52.0,54.0,33.0,43.0,36.0
bics,bics_l1,Consumer Discretionary,X20,34.0,45.0,33.0,48.0,47.0,37.0,47.0,55.0,56.0,79.0,63.0,55.0
bics,bics_l1,Consumer Discretionary,XHC,85.0,65.0,,67.0,43.0,100.0,45.0,63.0,43.0,34.0,75.0,47.0
bics,bics_l1,Consumer Staples,AAM,,,,,,,69.0,,81.0,79.0,71.0,70.0
bics,bics_l1,Consumer Staples,AAV,56.0,45.0,68.0,88.0,59.0,63.0,48.0,55.0,61.0,63.0,55.0,58.0
bics,bics_l1,Consumer Staples,ABT,65.0,79.0,91.0,72.0,71.0,67.0,61.0,46.0,58.0,70.0,59.0,57.0
bics,bics_l1,Consumer Staples,ACL,62.0,66.0,88.0,79.0,71.0,64.0,45.0,49.0,54.0,56.0,52.0,47.0
bics,bics_l1,Consumer Staples,AGF,32.0,36.0,25.0,37.0,42.0,44.0,5.0,23.0,22.0,41.0,,
bics,bics_l1,Consumer Staples,ANV,68.0,60.0,77.0,84.0,82.0,61.0,48.0,65.0,54.0,60.0,58.0,49.0
bics,bics_l1,Consumer Staples,APF,54.0,67.0,34.0,26.0,53.0,39.0,30.0,54.0,55.0,58.0,61.0,65.0
bics,bics_l1,Consumer Staples,ASM,68.0,52.0,44.0,38.0,56.0,47.0,32.0,34.0,42.0,48.0,36.0,35.0
bics,bics_l1,Consumer Staples,AVF,56.0,40.0,43.0,36.0,56.0,50.0,40.0,50.0,51.0,45.0,64.0,
bics,bics_l1,Consumer Staples,BBC,,,,,,,,,,69.0,68.0,
bics,bics_l1,Consumer Staples,BCF,93.0,81.0,74.0,,,,91.0,,100.0,99.0,100.0,86.0
bics,bics_l1,Consumer Staples,BHN,65.0,81.0,72.0,67.0,67.0,76.0,71.0,79.0,52.0,90.0,99.0,87.0
bics,bics_l1,Consumer Staples,BLF,56.0,39.0,39.0,25.0,29.0,47.0,33.0,32.0,40.0,47.0,24.0,31.0
bics,bics_l1,Consumer Staples,BMV,58.0,42.0,68.0,54.0,57.0,58.0,50.0,49.0,64.0,60.0,83.0,76.0
bics,bics_l1,Consumer Staples,BM_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bics,bics_l1,Consumer Staples,BNA,,,,,,,,,,73.0,71.0,75.0
bics,bics_l1,Consumer Staples,BQB,62.0,,66.0,,,,,,,,,
bics,bics_l1,Consumer Staples,BSH,76.0,100.0,85.0,62.0,82.0,89.0,83.0,99.0,,86.0,94.0,83.0
bics,bics_l1,Consumer Staples,BSL,60.0,55.0,51.0,53.0,66.0,67.0,47.0,62.0,55.0,71.0,68.0,71.0
bics,bics_l1,Consumer Staples,BSP,71.0,90.0,67.0,66.0,99.0,64.0,83.0,78.0,65.0,82.0,73.0,63.0
